Temperature;Pressure;Theta;Velocity;Power
7.48;1027.7;309.92;6.59;251.72
2.96;1023.55;151.37;8.88;564.97
4.23;1009.94;277.85;7.78;460.74
2.7;1031.74;270.34;10.99;1160.9
6.57;990.43;251.48;15.12;1995.2
3.74;1009.54;226.92;10.63;1032.88
5.88;1019.3;204.2;9.11;656.84
3.31;1027.76;162.57;9.4;724.77
5.34;1028.16;211.54;4.88;15.2
6.2;1008.28;251.46;17.53;2018.72
4.77;1028.14;184.78;11.17;1198.58
5.0;999.1;228.45;8.51;520.67
1.05;981.51;294.84;17.64;727.65
5.41;1014.82;273.44;16.0;2012.51
6.13;1018.94;203.44;9.94;858.83
4.84;1028.21;194.74;10.81;1082.02
-3.5;999.07;144.24;4.27;7.9
4.6;1024.85;229.63;6.52;246.5
3.68;1029.77;176.76;4.12;7.31
2.54;1033.16;270.09;5.54;8.46
4.3;1012.21;286.86;13.55;1728.39
2.91;1028.55;130.28;4.84;47.59
2.98;1032.8;354.24;7.01;228.42
0.81;1032.47;320.63;2.94;8.49
2.13;1028.68;177.02;2.0;8.04
4.76;1023.35;249.85;8.39;526.79
4.74;1025.84;178.28;11.88;1340.89
3.24;1027.73;162.23;9.37;695.96
3.34;1010.68;288.05;4.73;57.15
4.04;1022.32;216.66;5.38;3.8
1.68;1023.51;130.81;8.41;472.77
4.57;1023.57;250.21;7.33;326.15
3.32;1009.94;269.32;9.42;797.65
3.14;1029.69;255.25;4.64;7.21
4.31;1027.4;282.15;5.76;8.44
2.81;1032.3;336.43;3.82;8.25
2.53;1010.92;221.91;4.78;3.74
5.41;1009.4;251.92;13.25;1737.04
2.61;1028.47;137.52;4.88;37.87
4.41;1014.38;294.15;2.8;4.2
1.25;1000.89;317.05;10.67;1232.6
4.59;1023.69;239.89;6.78;3.69
3.51;1029.83;197.71;4.05;7.31
5.17;998.42;243.7;9.23;690.46
5.08;1020.61;228.46;16.87;2016.96
3.77;1026.95;231.11;10.71;1111.67
5.53;1016.9;265.42;12.32;1549.97
4.64;1001.9;197.29;9.56;768.46
2.4;1032.46;258.87;5.81;8.34
-2.97;1031.87;250.16;2.27;8.14
4.12;1028.95;238.7;5.7;123.92
5.34;1007.66;205.05;14.41;1972.96
2.52;1010.19;295.61;18.83;2013.94
1.62;1023.53;133.59;8.59;521.6
2.65;1031.57;268.28;9.62;832.49
2.66;1029.13;197.05;4.11;7.72
3.87;1028.04;293.82;7.4;305.48
3.2;980.22;258.13;14.37;1975.0
7.24;1027.96;173.87;11.0;1090.12
3.87;1006.47;314.51;12.54;1397.71
5.02;1023.55;168.74;8.05;403.19
1.16;984.06;291.86;15.16;1929.95
3.52;1010.82;236.92;7.97;484.91
2.07;1032.94;314.5;5.63;108.26
5.23;1014.07;264.64;16.79;2019.36
3.29;1023.58;151.77;8.56;564.88
6.39;1023.64;274.84;7.33;354.48
6.33;1017.53;210.04;9.99;874.19
5.29;1009.27;238.66;17.74;2020.65
2.59;1029.47;296.82;6.51;258.23
4.22;1026.63;229.63;7.03;320.67
3.31;1033.96;202.8;5.74;149.2
4.67;1026.28;180.33;11.95;1402.81
4.62;1029.6;188.4;10.52;1027.69
1.59;984.92;300.55;14.03;1804.18
-0.2;1032.8;334.99;5.64;105.43
6.12;1013.47;214.3;11.7;1321.78
5.27;1011.63;314.11;5.42;3.73
5.69;1022.9;292.49;10.49;877.8
3.42;1027.17;211.99;8.47;551.83
5.13;1020.53;227.82;17.12;2017.55
3.88;1009.82;265.81;11.09;1283.41
1.95;986.43;305.68;17.46;2018.6
5.62;1028.06;292.42;8.52;564.73
3.25;980.33;262.55;18.65;2022.69
3.19;1029.39;174.84;8.38;480.26
5.17;1028.36;209.89;4.9;48.98
3.68;1028.98;249.8;6.73;270.15
4.68;1027.62;188.44;7.65;390.1
4.44;1027.78;221.86;7.4;346.6
2.62;1032.84;268.32;5.34;8.4
4.03;1030.98;115.95;4.69;5.59
2.89;1029.89;272.86;5.55;99.89
6.67;1022.39;257.62;7.25;330.63
5.64;1018.95;212.24;9.03;631.1
4.64;1000.9;206.4;9.29;670.79
1.96;1030.06;312.46;8.23;534.76
5.09;1028.7;235.89;6.75;256.37
5.44;1015.09;273.41;14.44;1995.17
4.84;1012.69;321.27;1.39;3.91
1.77;1033.02;300.03;5.68;168.63
5.42;998.1;248.07;8.69;593.37
3.72;1029.27;226.68;7.22;304.97
4.8;1027.94;183.98;11.53;1309.16
5.6;1014.25;195.22;8.42;519.46
5.17;1007.54;212.54;13.53;1817.2
3.41;1027.21;274.52;6.84;282.77
-2.03;997.17;330.05;9.81;786.41
5.06;1023.98;228.42;12.01;1418.18
5.69;1028.3;177.23;4.76;7.21
4.35;1026.42;213.25;4.44;14.85
5.07;1019.79;199.27;8.68;586.86
3.31;1029.16;232.75;4.85;43.27
4.23;1027.59;201.12;7.51;349.73
4.0;1026.24;107.11;0.79;7.67
4.6;1001.1;205.53;9.41;701.35
5.39;1029.51;175.35;9.09;596.75
4.96;998.44;258.98;17.26;2016.05
3.39;1031.98;290.53;5.88;8.25
4.84;1020.95;199.46;9.06;681.19
-0.46;1002.93;319.21;4.38;7.93
-3.33;1032.15;256.92;2.23;8.21
4.95;1029.71;191.27;9.55;768.46
5.98;998.27;258.39;15.52;2008.33
4.21;1012.33;286.51;12.5;1612.73
1.8;1031.47;302.42;5.81;139.74
1.87;1033.04;299.38;6.48;210.93
3.54;1035.48;322.75;5.13;8.74
3.85;1032.3;352.76;4.77;7.88
4.08;1016.98;227.8;17.29;2015.98
2.46;1033.14;275.99;4.57;8.49
-0.25;1003.49;309.51;4.72;7.76
3.87;1027.09;268.85;5.81;8.45
5.48;1034.19;263.77;3.23;7.82
7.0;1029.66;118.1;5.3;7.86
2.61;1033.05;179.18;6.38;214.7
4.21;1025.7;203.38;12.09;1389.43
3.93;1025.76;279.43;7.83;390.43
3.17;1032.07;270.0;6.04;8.27
3.08;1029.09;237.61;4.79;7.86
8.09;1026.72;171.39;6.51;175.81
5.86;1020.8;290.27;12.81;1725.44
