model,seed,train_size,test_r2,train_r2,generalization_gap,test_mse,test_rmse,test_mae,n_params,best_params,selection,cv_mean_r2,cv_std_r2,wall_time_seconds
ANN_reg,42,1600,0.8748210083047121,0.9341982152066126,0.059377206901900514,63299.19413361045,251.59331098741566,116.771218460257,8961,"{'model__alpha': '0.0001', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9598817543271506,0.016179207530595745,192.80509090423584
ANN_reg,42,2400,0.8772751592837453,0.9275361427972525,0.05026098351350716,62058.20491368483,249.11484282090626,117.20642841187318,2433,"{'model__alpha': '0.001', 'model__hidden_layer_sizes': '(64, 32)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9405352884268542,0.02288144912900288,219.05308270454407
ANN_reg,42,3200,0.9048821826913281,0.943333945888028,0.03845176319669985,48098.176074488656,219.31296376294918,94.6449554044728,8961,"{'model__alpha': '0.0001', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.001'}",neg_rmse,0.9409527379505406,0.01425884732990017,236.03127145767212
ANN_reg,42,800,0.8715088743879382,0.9421232169234544,0.07061434253551613,64974.0391292047,254.9000571384885,120.03841845894064,8961,"{'model__alpha': '0.01', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9620741929216902,0.022302961987747522,126.8087272644043
ANN_reg,43,1600,0.9173370509367147,0.9120946648548476,-0.005242386081867112,43251.7364598062,207.97051824671254,112.82751790967566,8961,"{'model__alpha': '0.01', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9388862878402218,0.009402588175200757,142.69694542884827
ANN_reg,43,2400,0.9497713681846196,0.930772415483654,-0.018998952700965632,26281.128009989825,162.11455212284253,77.11910418575073,8961,"{'model__alpha': '0.0001', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.001'}",neg_rmse,0.9274105722838384,0.02154251940789435,189.7307436466217
ANN_reg,43,3200,0.950029484979462,0.9325277532715963,-0.01750173170786573,26146.07355436148,161.69747541121808,76.44177289469285,8961,"{'model__alpha': '0.001', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.001'}",neg_rmse,0.9344272952781274,0.012309123110002358,244.0624759197235
ANN_reg,43,800,0.9274657278818057,0.9148229282493765,-0.012642799632429202,37952.10862315351,194.813009378618,103.94159924000901,2433,"{'model__alpha': '0.01', 'model__hidden_layer_sizes': '(64, 32)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9051436873372303,0.043782034048461455,82.01850008964539
ANN_reg,44,1600,0.9632853487969743,0.9475062542173438,-0.015779094579630448,19332.92040178525,139.04287253140757,67.3489064023788,2433,"{'model__alpha': '0.01', 'model__hidden_layer_sizes': '(64, 32)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9305842029557505,0.029838778268581292,151.61322450637817
ANN_reg,44,2400,0.9639761200009773,0.9449075928630034,-0.019068527137973912,18969.179381096044,137.72864401095381,63.13534826356067,2433,"{'model__alpha': '0.1', 'model__hidden_layer_sizes': '(64, 32)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9351268939454261,0.03411483562217194,273.9223494529724
ANN_reg,44,3200,0.9665551142518883,0.9446249781175367,-0.021930136134351685,17611.152301012688,132.70701677384164,62.747529515240494,2433,"{'model__alpha': '0.1', 'model__hidden_layer_sizes': '(64, 32)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9348648922416622,0.018420868119691146,323.40421438217163
ANN_reg,44,800,0.9265203321244379,0.8943485984801138,-0.03217173364432402,38692.36186753664,196.7037413663925,105.44675366141298,8961,"{'model__alpha': '0.01', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9152495333337471,0.02462861133927921,88.54716157913208
ANN_reg,45,1600,0.9262219996613767,0.9519737823041508,0.025751782642774,37265.85549537861,193.04366214765665,69.6290831103583,8961,"{'model__alpha': '0.01', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9390990696486016,0.027962039471163668,198.32768988609314
ANN_reg,45,2400,0.9221908143678165,0.9446067417525439,0.02241592738472742,39302.0392891303,198.2474193757142,80.1267545846485,8961,"{'model__alpha': '0.001', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.001'}",neg_rmse,0.9341824307722215,0.020505150255832365,258.4220356941223
ANN_reg,45,3200,0.9264631580612981,0.9505830988600386,0.02411994079874047,37144.04446713555,192.72790266885474,74.21393650549291,8961,"{'model__alpha': '0.0001', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.001'}",neg_rmse,0.9454278739929354,0.014603052305292984,319.12030482292175
ANN_reg,45,800,0.926021226923339,0.9393143653319685,0.013293138408629557,37367.26740419678,193.3061494215763,73.98256202355948,8961,"{'model__alpha': '0.01', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9169850805935434,0.05471653215454076,122.85086011886597
ANN_reg,46,1600,0.9369741072952029,0.921414724034026,-0.015559383261176896,33966.48381988825,184.29998323355392,98.42313020269543,2433,"{'model__alpha': '0.1', 'model__hidden_layer_sizes': '(64, 32)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.940890331778658,0.01692055012725114,205.4543251991272
ANN_reg,46,2400,0.9564676375002956,0.9460324524973761,-0.010435185002919511,23460.85430972681,153.16936478854643,74.17745201535976,2433,"{'model__alpha': '0.01', 'model__hidden_layer_sizes': '(64, 32)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9447878568554703,0.019170230423544574,270.8920843601227
ANN_reg,46,3200,0.959335710324425,0.94653403402821,-0.012801676296214981,21915.166577363474,148.03772011674414,64.70204479130382,2433,"{'model__alpha': '0.1', 'model__hidden_layer_sizes': '(64, 32)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9408756774190756,0.019453784874187318,332.5219249725342
ANN_reg,46,800,0.9551595346212858,0.9480187755302496,-0.007140759091036175,24165.828937896687,155.45362310958433,72.60638884574453,2433,"{'model__alpha': '0.01', 'model__hidden_layer_sizes': '(64, 32)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9346291223687043,0.05228470119784163,124.80419611930847
ANN_reg,47,1600,0.9599747624770985,0.9372910276755005,-0.02268373480159791,20998.345012414422,144.90805709971556,67.68163769513829,8961,"{'model__alpha': '0.001', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9286150332320826,0.02542018203394687,207.43484139442444
ANN_reg,47,2400,0.9597377235365601,0.9335480213366906,-0.02618970219986949,21122.702187108374,145.33651360586703,71.44252561051904,8961,"{'model__alpha': '0.001', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.93307244325483,0.01979402154690214,264.8419077396393
ANN_reg,47,3200,0.9318766189400912,0.9068324344582316,-0.025044184481859633,35739.40712006155,189.04868981313135,100.21140799256715,8961,"{'model__alpha': '0.001', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9424660989700261,0.011339423117562131,316.71289253234863
ANN_reg,47,800,0.9589697891351223,0.9311451143980335,-0.027824674737088828,21525.581782740086,146.71599020808907,67.01112222306675,8961,"{'model__alpha': '0.001', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9165029692865077,0.05676904723678913,124.17508149147034
ANN_reg,48,1600,0.9592623343602097,0.9437748238918381,-0.015487510468371601,21991.418581059603,148.2950389630739,68.57771814764814,8961,"{'model__alpha': '0.001', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9458267826006385,0.02023061955220276,199.5414502620697
ANN_reg,48,2400,0.934671668692437,0.9066405719117233,-0.028031096780713693,35266.20036822888,187.79297209488132,100.85826283623241,2433,"{'model__alpha': '0.001', 'model__hidden_layer_sizes': '(64, 32)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9371075168898043,0.030707893922383288,262.0107452869415
ANN_reg,48,3200,0.9355394853404163,0.9107507373829361,-0.024788747957480206,34797.72681046361,186.54148817478543,99.19621959036489,8961,"{'model__alpha': '0.001', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9372895878703597,0.02226778930159257,303.42126965522766
ANN_reg,48,800,0.9121087287734297,0.9201600134595656,0.008051284686135807,47446.354738525835,217.8218417388987,131.88749978836813,8961,"{'model__alpha': '0.01', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9551739801388421,0.029347249223074894,126.12099957466125
ANN_reg,49,1600,0.9302869627817085,0.9531588898743217,0.02287192709261321,34120.22160847395,184.71659808602462,71.30359048346644,8961,"{'model__alpha': '0.01', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.948804506729304,0.007369696575204857,202.07004404067993
ANN_reg,49,2400,0.9285422716039381,0.9549504650430962,0.026408193439158123,34974.14007192396,187.01374300281773,70.36416280939208,8961,"{'model__alpha': '0.1', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9555132906665328,0.01317645180586768,246.91516661643982
ANN_reg,49,3200,0.8918221675104104,0.916858863967324,0.025036696456913532,52946.36075188391,230.10076217145374,111.73038046736143,8961,"{'model__alpha': '0.1', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9530184541888426,0.018709673752655486,304.61947751045227
ANN_reg,49,800,0.9202792765057926,0.9450932137823275,0.024813937276534914,39018.3653007809,197.5306692662709,84.41917684840801,8961,"{'model__alpha': '0.01', 'model__hidden_layer_sizes': '(128, 64)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9339411999507117,0.04990899263393408,116.86097931861877
ANN_reg,50,1600,0.9025727057042042,0.959922301981958,0.05734959627775382,49028.39910023985,221.42357394875518,80.61069641280015,2433,"{'model__alpha': '0.01', 'model__hidden_layer_sizes': '(64, 32)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.9545225647942036,0.014813329530466927,192.4841730594635
ANN_reg,50,2400,0.9061122025623175,0.9458050328639388,0.039692830301621296,47247.215851459965,217.36424694843438,80.4886166387594,2433,"{'model__alpha': '0.0001', 'model__hidden_layer_sizes': '(64, 32)', 'model__learning_rate_init': '0.01'}",neg_rmse,0.946649017418145,0.02144578364217874,245.94703269004822
