model,seed,train_size,test_r2,train_r2,generalization_gap
ANN,42,800,0.8512091729668236,0.8959069241527705,0.04469775118594688
ANN,42,1600,0.8827683792487341,0.9248415158475856,0.04207313659885148
ANN,42,2400,0.8868003959212236,0.9218735497373949,0.035073153816171265
ANN,42,3200,0.8839114956601628,0.9145741108235188,0.030662615163356
ANN,43,800,-0.5394416974202432,-0.49150659874387115,0.04793509867637202
ANN,43,1600,-0.22831967592302327,-0.17067147612526723,0.05764819979775604
ANN,43,2400,-0.029011449625463426,0.012660213609403836,0.04167166323486726
ANN,43,3200,0.19601947798766772,0.22431844558642167,0.028298967598753944
ANN,44,800,0.856229007931445,0.8300686919909324,-0.026160315940512602
ANN,44,1600,0.9241846757741432,0.9125362348063866,-0.011648440967756635
ANN,44,2400,0.9273772076955028,0.9120603400785634,-0.0153168676169394
ANN,44,3200,0.9252045112869949,0.9064753752556425,-0.0187291360313524
ANN,45,800,0.8508905866236585,0.8702434092122215,0.01935282258856308
ANN,45,1600,0.8892572606565394,0.9140156685787425,0.024758407922203074
ANN,45,2400,0.9028912340040587,0.9288593219395024,0.025968087935443696
ANN,45,3200,0.9060623926315795,0.9331334075365909,0.027071014905011404
ANN,46,800,0.8846442502180623,0.8701304775595737,-0.014513772658488522
ANN,46,1600,0.9207563567052603,0.9033041611984859,-0.01745219550677446
ANN,46,2400,0.9226739575814659,0.9061585606878417,-0.016515396893624135
ANN,46,3200,0.928370683326352,0.9106934473753054,-0.017677235951046533
ANN,47,800,0.8476872048786837,0.8421951239648141,-0.005492080913869546
ANN,47,1600,0.9212866336363927,0.9066599307931259,-0.014626702843266837
ANN,47,2400,0.9189889610110074,0.8989091910294884,-0.020079769981518947
ANN,47,3200,0.9235598787328083,0.90827509343157,-0.015284785301238335
ANN,48,800,0.8937158217567002,0.9058656919557452,0.01214987019904501
ANN,48,1600,0.9178242101999488,0.9058244412254088,-0.011999768974539915
ANN,48,2400,0.9245688850292294,0.904857980325993,-0.019710904703236443
ANN,48,3200,0.9302652109504083,0.9133938943955889,-0.016871316554819327
ANN,49,800,0.7150826364377656,0.7200358898105386,0.00495325337277297
ANN,49,1600,0.871241134616472,0.8953833721746762,0.024142237558204216
ANN,49,2400,0.8851948008962544,0.9142032488154798,0.02900844791922541
ANN,49,3200,0.8918075077613102,0.9168465261788522,0.02503901841754197
ANN,50,800,0.8428858216289961,0.9000314694106534,0.057145647781657316
ANN,50,1600,0.8734280006010933,0.9231920113451489,0.049764010744055676
ANN,50,2400,0.8793114960690521,0.9115562902099237,0.03224479414087156
ANN,50,3200,0.880990724898331,0.9174994674162374,0.03650874251790648
ANN,51,800,-0.47349264566224347,-0.5511322942638379,-0.07763964860159445
ANN,51,1600,-0.17389182880299336,-0.19674960666726515,-0.02285777786427179
ANN,51,2400,0.015658728737980354,0.005340206592482799,-0.010318522145497555
ANN,51,3200,0.23009127652788974,0.21846577074134832,-0.011625505786541424
DTR,42,800,0.9195386324691099,0.9790506914177353,0.059512058948625324
DTR,42,1600,0.9199219708589923,0.974566998345682,0.054645027486689646
DTR,42,2400,0.9283333908232853,0.9658361868866919,0.037502796063406674
DTR,42,3200,0.9309245160347493,0.9626803814600937,0.031755865425344365
DTR,43,800,0.9304300229855413,0.9634840835663663,0.03305406058082494
DTR,43,1600,0.9534299532378394,0.9609164220069936,0.007486468769154153
DTR,43,2400,0.9520640033929129,0.9519257475774947,-0.00013825581541815346
DTR,43,3200,0.9611158498608415,0.9542212877104773,-0.006894562150364214
DTR,44,800,0.9618492780581729,0.9453265406487068,-0.01652273740946608
DTR,44,1600,0.9646555000593082,0.9569941866725069,-0.007661313386801316
DTR,44,2400,0.9639430443187288,0.9548383782281152,-0.009104666090613556
DTR,44,3200,0.9651075189962948,0.9544015614884775,-0.010705957507817221
DTR,45,800,0.9339779664832633,0.9578993607561609,0.023921394272897634
DTR,45,1600,0.933123481812455,0.9640098971179542,0.030886415305499182
DTR,45,2400,0.93540110882057,0.9603712425258842,0.0249701337053142
DTR,45,3200,0.9343184426559297,0.9632842889441263,0.02896584628819665
DTR,46,800,0.9553465604274393,0.9648302075803893,0.009483647152950025
DTR,46,1600,0.9410922334695765,0.9601937760666968,0.01910154259712027
DTR,46,2400,0.9442368966996537,0.9627152887980729,0.018478392098419172
DTR,46,3200,0.9478046051187283,0.956896631151,0.00909202603227166
