seed,noise_p,mode,train_size,test_r2,train_r2,generalization_gap,test_mse,test_rmse,test_mae
42,0.001,freeze_eval,800,0.8865395179134725,0.9287096737642603,0.04217015585078776,57373.50161415689,239.52766356760733,152.8881518710202
43,0.001,freeze_eval,800,0.9107522586113475,0.9090570075977177,-0.0016952510136297727,46697.09747736799,216.095112108923,141.74185987066116
44,0.001,freeze_eval,800,0.9153285898500174,0.8978940616299146,-0.01743452822010283,44585.623970237335,211.15308183930762,141.92850298679392
45,0.001,freeze_eval,800,0.8827319727811198,0.9065282219801778,0.023796249199057984,59233.01440143727,243.37833593283784,150.98542396204056
46,0.001,freeze_eval,800,0.8935252296044434,0.9076669287390812,0.014141699134637808,57382.34574171647,239.54612445563896,161.41324856178434
47,0.001,freeze_eval,800,0.8971233232242555,0.8924159450984558,-0.004707378125799688,53971.945861200285,232.31863003470102,165.50985485680428
48,0.001,freeze_eval,800,0.9158720281509437,0.9346046872657614,0.018732659114817696,45414.81241627957,213.10751374899846,142.57784419350938
49,0.001,freeze_eval,800,0.880926598648011,0.9113818339695295,0.030455235321518503,58279.06807564272,241.41057987512212,149.87876339309165
50,0.001,freeze_eval,800,0.8814263926598566,0.9321578564317865,0.05073146377192994,59669.87162527153,244.27417306230214,149.70329665590506
51,0.001,freeze_eval,800,0.8701042386251283,0.8756141914126048,0.0055099527874764576,67437.18905643967,259.6867132843721,169.4255602611096
42,0.001,freeze_eval_calibrated,800,0.8948257314052264,0.9360739931937699,0.04124826178854357,53183.41644616131,230.6152996792739,140.6851107090267
43,0.001,freeze_eval_calibrated,800,0.9277503427474764,0.9137039978077469,-0.01404634493972945,37803.18958140595,194.43042349747108,124.78901285679905
44,0.001,freeze_eval_calibrated,800,0.9369231330785902,0.9027374919047826,-0.034185641173807624,33214.534454983965,182.24855131107068,122.20224617607933
45,0.001,freeze_eval_calibrated,800,0.895918353475707,0.9142081714512567,0.018289817975549627,52572.46850406783,229.28686945411383,136.0720531594218
46,0.001,freeze_eval_calibrated,800,0.9271156824958249,0.922186662212944,-0.0049290202828808916,39279.47522813482,198.1905023661195,127.73487708031732
47,0.001,freeze_eval_calibrated,800,0.9182874817536057,0.9007310985565078,-0.017556383197097958,42868.64378978979,207.04744333072503,141.54209205073698
48,0.001,freeze_eval_calibrated,800,0.9303838608445815,0.9400272378222895,0.009643376977708007,37580.88815645701,193.8579071290542,124.30161743235806
49,0.001,freeze_eval_calibrated,800,0.8948202617296286,0.9180170624035088,0.02319680067388019,51478.97899311054,226.88979481922615,136.6191136229836
50,0.001,freeze_eval_calibrated,800,0.89190935224616,0.9433549100394286,0.05144555779326865,54394.525223999815,233.22633904428508,130.35739907344433
51,0.001,freeze_eval_calibrated,800,0.8959884579412339,0.8927717070844448,-0.0032167508567891856,53999.03700957665,232.3769287377227,141.08208387651234
42,0.001,noise_aware,800,0.8889023628175765,0.9206721530546029,0.03176979023702642,56178.683088564634,237.02042757653746,156.4912910856236
43,0.001,noise_aware,800,0.9141058168507963,0.9028978336604617,-0.011207983190334558,44942.41513396156,211.99626207544688,140.79537914876772
44,0.001,noise_aware,800,0.9177012309028996,0.889089590847802,-0.02861164005509753,43336.256779909774,208.17362171973127,145.63091822369287
45,0.001,noise_aware,800,0.8856872876729976,0.8979406759212648,0.01225338824826716,57740.2613151706,240.2920333993006,154.7394583300763
46,0.001,noise_aware,800,0.8999815246155063,0.8994145714615293,-0.0005669531539770345,53902.86087258734,232.16989656841247,161.67725420581849
47,0.001,noise_aware,800,0.9026023615506836,0.8877738217627952,-0.01482853978788845,51097.491036322586,226.04754154009856,162.4347121781937
48,0.001,noise_aware,800,0.9130719698204791,0.9233602599721474,0.010288290151668322,46926.36821677895,216.6249482787681,149.18671208912284
49,0.001,noise_aware,800,0.8835013655067689,0.9042551191888897,0.020753753682120735,57018.878886985185,238.78626193101056,152.26498645818072
50,0.001,noise_aware,800,0.8809526466289976,0.9213176689669511,0.04036502233795347,59908.27514084685,244.7616700810134,154.57321963594623
51,0.001,noise_aware,800,0.8696457343485806,0.8634995349447301,-0.006146199403850527,67675.22792124526,260.1446288533462,172.54259183516672
42,0.005,freeze_eval,800,0.8119131908818649,0.9287096737642603,0.11679648288239541,95109.75670199725,308.3986976334324,197.87768294164735
43,0.005,freeze_eval,800,0.8325909971537468,0.9090570075977177,0.07646601044397083,87593.41584295168,295.96184862740614,192.96985558305138
44,0.005,freeze_eval,800,0.8363569141716923,0.8978940616299146,0.06153714745822225,86169.92532835118,293.5471432808556,193.06951542154974
45,0.005,freeze_eval,800,0.7994885721532725,0.9065282219801778,0.10703964982690528,101279.91895975011,318.24506117102607,196.62256947490292
46,0.005,freeze_eval,800,0.7897451203426744,0.9076669287390812,0.11792180839640676,113312.46034678587,336.6191621800308,220.2016340129008
47,0.005,freeze_eval,800,0.8366509981890378,0.8924159450984558,0.05576494690941802,85697.39768558498,292.7411786639949,203.29293836512198
48,0.005,freeze_eval,800,0.8532853609613404,0.9346046872657614,0.08131932630442096,79200.97993825148,281.42668661349705,186.80482485023387
49,0.005,freeze_eval,800,0.7953719909414714,0.9113818339695295,0.11600984302805817,100152.75900998714,316.46920704862765,193.10979355849327
50,0.005,freeze_eval,800,0.8015951104457393,0.9321578564317865,0.13056274598604722,99843.41840564768,315.9800917868841,197.11223674947814
51,0.005,freeze_eval,800,0.7822308160256716,0.8756141914126048,0.0933833753869332,113057.89715463594,336.2408320752195,217.7912840131033
42,0.005,freeze_eval_calibrated,800,0.894685351508459,0.9357288236766022,0.04104347216814319,53254.402273875676,230.76915364466646,141.05252001182126
43,0.005,freeze_eval_calibrated,800,0.9280076144814295,0.9142942936885998,-0.01371332079282972,37668.57728700327,194.08394391861287,125.44967180861576
44,0.005,freeze_eval_calibrated,800,0.9362695239539217,0.9018624365015998,-0.034407087452321905,33558.70695198584,183.19035714792918,123.912878636355
45,0.005,freeze_eval_calibrated,800,0.8963599577794874,0.9143761773284333,0.018016219548945944,52349.41065355296,228.79993586876932,135.859057844212
46,0.005,freeze_eval_calibrated,800,0.9268094269728604,0.9221137965240824,-0.004695630448777965,39444.52522297188,198.6064581602821,128.69877683944202
47,0.005,freeze_eval_calibrated,800,0.916871400026607,0.8996378375081583,-0.017233562518448764,43611.559372796124,208.83380802158476,144.08294808034492
48,0.005,freeze_eval_calibrated,800,0.9305947543217268,0.9404972191491544,0.009902464827427626,37467.04150719328,193.5640501415314,124.51549093000722
49,0.005,freeze_eval_calibrated,800,0.8947421712177787,0.9179066521680486,0.023164480950269906,51517.19947060167,226.97400615621532,136.78401498454363
50,0.005,freeze_eval_calibrated,800,0.8918672372340701,0.9431630003673672,0.05129576313329709,54415.71878824456,233.27177023430107,130.87904791431626
51,0.005,freeze_eval_calibrated,800,0.8960748841124023,0.892903177547966,-0.0031717065644363274,53954.167662164386,232.28036434912957,140.81160715083635
42,0.005,noise_aware,800,0.8388551321083755,0.8591410761492344,0.020285944040858928,81486.03961547103,285.45759687818963,197.97944370082718
43,0.005,noise_aware,800,0.8753266537145354,0.8647948832944994,-0.010531770420036057,65232.83742239573,255.40719923760122,179.72994771206788
44,0.005,noise_aware,800,0.8662321933889391,0.8477597040797197,-0.01847248930921941,70438.42915004778,265.40239100288414,192.60032990240563
45,0.005,noise_aware,800,0.8416462957725892,0.8522695428601532,0.010623247087564014,79985.71704046724,282.8174624036982,197.3367288081825
46,0.005,noise_aware,800,0.8572029884907975,0.8575545257895452,0.0003515372987477061,76957.45625807773,277.4120694167392,205.51826351107601
47,0.005,noise_aware,800,0.8635061898753916,0.8534717957887131,-0.0100343940866785,71608.42244635189,267.5975008223206,197.34214885061783
48,0.005,noise_aware,800,0.8673727097973744,0.8790454798384942,0.011672770041119884,71596.20484657248,267.5746715340831,195.2399806329055
49,0.005,noise_aware,800,0.8294711060381578,0.842079017800047,0.012607911761889246,83463.3503975257,288.90024298626975,192.73517332313637
50,0.005,noise_aware,800,0.8431439111479099,0.8788273756443292,0.03568346449641935,78934.78907660498,280.9533574752311,198.91625536434464
51,0.005,noise_aware,800,0.8388729471149916,0.8310814501817179,-0.007791496933273745,83651.3479154623,289.22542750502123,201.47660114471765
42,0.01,freeze_eval,800,0.6480684048324171,0.9287096737642603,0.28064126893184316,177961.06249594118,421.85431430286593,275.22326624496
43,0.01,freeze_eval,800,0.6843675572024057,0.9090570075977177,0.22468945039531196,165148.3692360762,406.3845090995426,264.2175453982168
44,0.01,freeze_eval,800,0.695194116210796,0.8978940616299146,0.20269994541911862,160502.35249972504,400.62744851011524,262.2628438736855
45,0.01,freeze_eval,800,0.6275513969542366,0.9065282219801778,0.27897682502594123,188126.7553587106,433.73581286159737,275.95571989627695
46,0.01,freeze_eval,800,0.6047826177276595,0.9076669287390812,0.30288431101142166,212994.12422714147,461.51286463883264,305.00675269151645
47,0.01,freeze_eval,800,0.7291084659697908,0.8924159450984558,0.16330747912866495,142117.18017298024,376.98432351091236,254.8697692929432
48,0.01,freeze_eval,800,0.7321276051230858,0.9346046872657614,0.20247708214267557,144605.58477104298,380.27041006505226,249.46800284335737
49,0.01,freeze_eval,800,0.6237986136487773,0.9113818339695295,0.28758322032075223,184127.31942126434,429.10059359230013,270.7246578305291
50,0.01,freeze_eval,800,0.6321245277908264,0.9321578564317865,0.3000333286409601,185126.20719919627,430.26295122773035,274.04952316881264
51,0.01,freeze_eval,800,0.6169900143394398,0.8756141914126048,0.258624177073165,198844.95490929915,445.92034592435806,293.23078914073574
42,0.01,freeze_eval_calibrated,800,0.8944916494245734,0.9352740091323319,0.040782359707758564,53352.35150358193,230.98127955222245,141.54503407263718
43,0.01,freeze_eval_calibrated,800,0.9278129711742874,0.9145919879185038,-0.01322098325578358,37770.420508417155,194.34613582064645,126.74538322617173
44,0.01,freeze_eval_calibrated,800,0.9351720399177066,0.9004810497876599,-0.03469099013004673,34136.61170714874,184.76095828704922,126.41349498329033
45,0.01,freeze_eval_calibrated,800,0.8968944186079806,0.9145643814021107,0.017669962794130134,52079.4502329513,228.20922468855483,135.59696563028325
46,0.01,freeze_eval_calibrated,800,0.9263526569063779,0.9219448470009177,-0.004407809905460192,39690.691876179844,199.2252290152526,129.95191683449482
47,0.01,freeze_eval_calibrated,800,0.914744679203719,0.8979817037295412,-0.01676297547417782,44727.29585177479,211.48828774136592,147.44949127381443
48,0.01,freeze_eval_calibrated,800,0.9298516031108017,0.9400415794416671,0.01018997633086538,37868.21690818412,194.59757683019623,126.32392663466543
49,0.01,freeze_eval_calibrated,800,0.89464302582737,0.9177666671067684,0.023123641279398366,51565.72500939879,227.08087768325802,136.9864891752095
50,0.01,freeze_eval_calibrated,800,0.8917967628197409,0.9429121379504147,0.05111537513067388,54451.183672464795,233.34777408937245,131.53096390637143
51,0.01,freeze_eval_calibrated,800,0.8961686151508294,0.8930579171952189,-0.0031106979556104752,53905.50589143412,232.1755927987137,140.5024074475548
42,0.01,noise_aware,800,0.7214432290891546,0.733980799868758,0.01253757077960338,140857.65415045276,375.31007733666405,263.38345540787554
43,0.01,noise_aware,800,0.8052429330275162,0.7969831059024136,-0.008259827125102537,101902.74397214822,319.2220919237079,229.9224985436394
44,0.01,noise_aware,800,0.7982766678493431,0.7775081806690236,-0.02076848718031954,106221.93037013356,325.9170605693012,237.71370096050478
45,0.01,noise_aware,800,0.7740742102316428,0.7822434783472291,0.00816926811558627,114116.91555130582,337.81195294321043,241.30911925133873
46,0.01,noise_aware,800,0.7862933867450563,0.7948324502660349,0.008539063520978551,115172.69981920722,339.3710356220861,248.97421725237913
47,0.01,noise_aware,800,0.7843991416322016,0.778496860857066,-0.005902280775135549,113110.16471518316,336.3185464930282,245.9139928200319
48,0.01,noise_aware,800,0.7950357648723789,0.8068945715027535,0.01185880663037453,110645.86588475508,332.6347334310641,244.60646190376022
49,0.01,noise_aware,800,0.7388901374543382,0.7455262360651417,0.006636098610803498,127797.13421922969,357.48725042892045,254.77333477029904
50,0.01,noise_aware,800,0.7779015950297692,0.8013120355714978,0.023410440541728583,111766.72119567485,334.3153020662902,242.1557753419225
51,0.01,noise_aware,800,0.7410839083367776,0.7279650994738553,-0.013118808862922271,134419.88590264294,366.6331762165597,264.6287955317578
42,0.02,freeze_eval,800,0.25366504264858925,0.9287096737642603,0.675044631115671,377398.8008234226,614.3279261301919,408.2219041426633
43,0.02,freeze_eval,800,0.3360802856553763,0.9090570075977177,0.5729767219423414,347382.72515923966,589.3918265120748,388.67186585115167
44,0.02,freeze_eval,800,0.36660376947850415,0.8978940616299146,0.5312902921514104,333528.9456993055,577.5196496218164,383.5394923467264
45,0.02,freeze_eval,800,0.22699242417946452,0.9065282219801778,0.6795357978007133,390452.28232189495,624.8618105804634,412.38124443921316
46,0.02,freeze_eval,800,0.1946732018488938,0.9076669287390812,0.7129937268901874,434013.9978221991,658.7973875344369,446.6994552630788
47,0.02,freeze_eval,800,0.4679509488716227,0.8924159450984558,0.4244649962268331,279127.6262315476,528.3253034178352,349.7626996744955
48,0.02,freeze_eval,800,0.4354105425897039,0.9346046872657614,0.4991941446760575,304782.3896967664,552.071000593915,360.38888312485784
49,0.02,freeze_eval,800,0.23246211741098488,0.9113818339695295,0.6789197165585447,375662.33938183135,612.9129949526534,397.5109510325485
50,0.02,freeze_eval,800,0.23491863764233978,0.9321578564317865,0.6972392187894467,385012.3792203606,620.4936576794001,404.6859723920147
51,0.02,freeze_eval,800,0.24077767831564456,0.8756141914126048,0.6348365130969602,394160.81557532266,627.8222802476213,419.72357964216
42,0.02,freeze_eval_calibrated,800,0.8940382610629063,0.9342784013208935,0.04024014025798717,53581.61615521723,231.4770315932387,142.6220790903893
43,0.02,freeze_eval_calibrated,800,0.9255134305084503,0.9135467605738695,-0.011966669934580731,38973.609216108314,197.4173478094271,131.29505403154397
44,0.02,freeze_eval_calibrated,800,0.9319932879287586,0.8967277044062867,-0.03526558352247189,35810.454632675,189.23650449285677,132.49762299774747
45,0.02,freeze_eval_calibrated,800,0.8978837169077475,0.914848197675556,0.016964480767808543,51579.747783552746,227.111751751319,135.06378682891906
46,0.02,freeze_eval_calibrated,800,0.9252075289316489,0.9213522028382872,-0.0038553260933616995,40307.83459572081,200.7681115011067,132.74247962261617
47,0.02,freeze_eval_calibrated,800,0.9094528128482889,0.8937934488690731,-0.015659363979215857,47503.555091394024,217.95310296344493,154.6474610489863
