config,feature_map,entanglement,num_params,seed,cv_val_r2,cv_train_r2,cv_gap,test_r2,test_gap
circular,ZFeatureMap,circular,16,42,0.9176557816696818,0.9188019557802865,0.0011461741106046919,0.8845334630974784,0.036115160885920816
circular,ZFeatureMap,circular,16,43,0.8913543741185957,0.89668143589615,0.005327061777554265,0.9192202126699485,-0.011595292850928196
circular,ZFeatureMap,circular,16,44,0.8841031084496003,0.8845758418032437,0.0004727333536433953,0.9129484517383077,-0.031499528603510796
circular,ZFeatureMap,circular,16,45,0.8885314785143006,0.8935949713580198,0.005063492843719208,0.8905601495551526,0.011756168660448374
circular,ZFeatureMap,circular,16,46,0.89493568237286,0.9004515739582135,0.005515891585353483,0.8988875204545774,-0.003513698997165471
circular,ZFeatureMap,circular,16,47,0.8896049373856384,0.8942322317985848,0.004627294412946403,0.9065519601349057,-0.013673317441522115
circular,ZFeatureMap,circular,16,48,0.9191896415670703,0.9223858949486905,0.0031962533816202177,0.9154569013089844,0.010661052315104835
circular,ZFeatureMap,circular,16,49,0.8994601316814176,0.9051632592613185,0.00570312757990088,0.8743532530607623,0.023768848494709616
circular,ZFeatureMap,circular,16,50,0.9231574878827672,0.9231973117127812,3.9823830013996364e-05,0.8796488450080423,0.04384488732048153
circular,ZFeatureMap,circular,16,51,0.8884826910444253,0.8948666979844425,0.006384006940017173,0.8960953252974828,-0.008220197836484866
full,ZFeatureMap,full,16,42,0.9263593463532297,0.9278378065707873,0.0014784602175575978,0.8924794452041889,0.03623022856007141
full,ZFeatureMap,full,16,43,0.9007485606510809,0.9053623593666712,0.0046137987155903115,0.9213998413472951,-0.012342833749577453
full,ZFeatureMap,full,16,44,0.8892790629701649,0.8924396192257149,0.0031605562555500066,0.9277371375645118,-0.02984307593459723
full,ZFeatureMap,full,16,45,0.8948470214596572,0.9018556730325787,0.00700865157292152,0.8909979091918702,0.015530312788307632
full,ZFeatureMap,full,16,46,0.9007762334016046,0.9026761723904692,0.0018999389888645357,0.9091221398357063,-0.0014552110966251641
full,ZFeatureMap,full,16,47,0.8906196202098713,0.8904324986513213,-0.00018712155854994084,0.9071620335808215,-0.014746088482365693
full,ZFeatureMap,full,16,48,0.9212461689347613,0.923644465849881,0.002398296915119724,0.9243696037419232,0.010235083523838173
full,ZFeatureMap,full,16,49,0.8942322478209622,0.9038179101617427,0.00958566234078051,0.8901369305299118,0.021244903439617713
full,ZFeatureMap,full,16,50,0.9152631234228179,0.9173673340964298,0.0021042106736118837,0.8885037465405983,0.04365410989118823
full,ZFeatureMap,full,16,51,0.8888093472624081,0.8934272908737185,0.004617943611310404,0.8819082825003878,-0.006294091087783005
reverse_linear,ZFeatureMap,reverse_linear,16,42,0.9263593463532297,0.9278378065707873,0.0014784602175575978,0.8924794452041889,0.03623022856007141
reverse_linear,ZFeatureMap,reverse_linear,16,43,0.9007485606510809,0.9053623593666712,0.0046137987155903115,0.9213998413472951,-0.012342833749577453
reverse_linear,ZFeatureMap,reverse_linear,16,44,0.8892790629701649,0.8924396192257149,0.0031605562555500066,0.9277371375645118,-0.02984307593459723
reverse_linear,ZFeatureMap,reverse_linear,16,45,0.8948470214596572,0.9018556730325787,0.00700865157292152,0.8909979091918702,0.015530312788307632
reverse_linear,ZFeatureMap,reverse_linear,16,46,0.9007762334016046,0.9026761723904692,0.0018999389888645357,0.9091221398357063,-0.0014552110966251641
reverse_linear,ZFeatureMap,reverse_linear,16,47,0.8906196202098713,0.8904324986513213,-0.00018712155854994084,0.9071620335808215,-0.014746088482365693
reverse_linear,ZFeatureMap,reverse_linear,16,48,0.9212461689347613,0.923644465849881,0.002398296915119724,0.9243696037419232,0.010235083523838173
reverse_linear,ZFeatureMap,reverse_linear,16,49,0.8942322478209622,0.9038179101617427,0.00958566234078051,0.8901369305299118,0.021244903439617713
reverse_linear,ZFeatureMap,reverse_linear,16,50,0.9152631234228179,0.9173673340964298,0.0021042106736118837,0.8885037465405983,0.04365410989118823
reverse_linear,ZFeatureMap,reverse_linear,16,51,0.8888093472624081,0.8934272908737185,0.004617943611310404,0.8819082825003878,-0.006294091087783005
